Obs,House,Character,Dialogue
384,No Entry,Boy,"with Sirius Black, sir?"
385,No Entry,Boy,What do you know
386,No Entry,Boy,"about Sirius Black, Harry?"
387,No Entry,Boy,-Only that he's escaped from Azkaban.
388,No Entry,Boy,"""""-Do you know why?"
389,No Entry,Boy,"Thirteen years ago,"
390,No Entry,Boy,when you stopped....
391,No Entry,Boy,"""""-Voldemort."
392,No Entry,Boy,-Don't say his name.
393,No Entry,Boy,Sorry.
394,No Entry,Boy,When you stopped You-Know-Who...
395,No Entry,Boy,...Black lost everything.
396,No Entry,Boy,"But to this day, he still remains"
397,No Entry,Boy,a faithful servant.
398,No Entry,Boy,And in his mind...
399,No Entry,Boy,...you are the only thing
400,No Entry,Boy,that stands in the way...
401,No Entry,Boy,...of You-Know-Who
402,No Entry,Boy,returning to power.
403,No Entry,Boy,And that is why...
404,No Entry,Boy,...he has escaped from Azkaban.
405,No Entry,Boy,To find you.
406,No Entry,Boy,And kill me.
407,No Entry,Boy,"Harry, swear to me"
408,No Entry,Boy,that whatever you might hear...
409,No Entry,Boy,...you won't go looking for Black.
410,No Entry,Boy,Mr. Weasley...
411,No Entry,Boy,...why would l go looking
412,No Entry,Boy,for someone who wants to kill me?
413,No Entry,Boy,Delicious.
414,No Entry,Boy,the most haunted building in Britain.
415,No Entry,Boy,"""""-did l mention that?"
416,No Entry,Boy,"""""-Oh. Do you want to move a bit closer?"
417,No Entry,Boy,"""""-Huh?"
418,No Entry,Boy,"""""-to The Shrieking Shack?"
419,No Entry,Boy,"-Oh. Actually, I'm fine here."
420,No Entry,Boy, With dementors at every entrance?
421,No Entry,Boy, If Potter could tell us more about how Diggory got killed...
422,Hufflepuff,Burbage,Severus.
423,Hufflepuff,Burbage,"Severus, please."
424,Hufflepuff,Burbage,We're friends.
425,Hufflepuff,Cedric,Yes sir. 
426,Hufflepuff,Cedric,Alright. They walk away some distance. 
427,Hufflepuff,Cedric,"Are you serious? And Fleur and Krum, do they...? "
428,Hufflepuff,Cedric,"Right. Hey listen, about the badges. I've asked them not to wear them. "
429,Hufflepuff,Cedric,Hey Potter. 
430,Hufflepuff,Cedric,How are you? 
431,Hufflepuff,Cedric,Look I realise I never really thanked you properly for tipping me off about those dragons. 
432,Hufflepuff,Cedric,Exactly. You know the prefects bathroom on the fifth floor? Harry nods. 
433,Hufflepuff,Cedric,It's not a bad place for a bath. Just take your egg and mull things over in the hot water. 
434,Hufflepuff,Cedric,"Get down! Harry ducks and Viktor gets zapped by Cedric. Cedric runs up and kicks the wand out of Viktor's hand. He points his wand at Viktor's body as if to finish him off, Harry runs up and intervenes. "
435,Hufflepuff,Cedric,Get off me! 
436,Hufflepuff,Cedric,Harry! Harry! Harry zaps the plantlife and Cedric wriggles free. Harry helps him up. 
437,Hufflepuff,Cedric,You know for a moment there I thought you were gonna let it get me. 
438,Hufflepuff,Cedric,Some game huh? 
439,Hufflepuff,Cedric,"Go. Take it, you saved me! "
440,Hufflepuff,Cedric,You ok? 
441,Hufflepuff,Cedric,Where are we? 
442,Hufflepuff,Cedric,It's a portkey. Harry the cup is a portkey. 
443,Hufflepuff,Cedric,"What are you talking about? Harry lets out a shout and holds his head, he is in pain. "
444,Hufflepuff,Cedric,What is it? 
445,Hufflepuff,Cedric,Who are you? What do you want? 
446,Hufflepuff,Cedric,(voice) Harry take my body back will you? Take my body back to my father. 
447,Hufflepuff,Cedric Diggory," Harry. Take my body back, will you? Take my body back to my father."
448,Ravenclaw,Cho," Yeah, I'm okay. Anyway, it's worth it. It's just, just learning all this. Makes me wonder whether if he'd known it..."
449,Ravenclaw,Cho," You're a really good teacher, Harry. I've never been able to stun anything before. [Mistletoe magically appears above Cho and Harry] Mistletoe."
450,Ravenclaw,Cho, What are Nargles?
451,Gryffindor,Colin," Hi, Harry! (flash) I’m Colin Creevy! I’m in Gryffindor, too!"
452,Gryffindor,Colin," (flash) Wow! Can you turn him around, Harry?"
453,Gryffindor,Colin," Hi, Harry! (flash) I’m Colin Creevy! I’m in Gryffindor, too!"
454,Gryffindor,Colin," (flash) Wow! Can you turn him around, Harry?"
455,Gryffindor,Colin Creevey," [starts taking pictures of Ron] Wow! Can you turn him around, Harry?"
456,Hufflepuff,Cornelius Fudge," Bad business, Hagrid. Very bad business. Had to come-- three attacks on Muggle-borns. Things have gone far enough. The Ministry’s got to act."
457,Hufflepuff,Cornelius Fudge," Albus look, Hagrid’s record is against him. I’ve got to take him."
458,Hufflepuff,Cornelius Fudge," I’m afraid we have no choice, Hagrid."
459,Hufflepuff,Cornelius Fudge," Come, Hagrid… Well?"
460,Hufflepuff,Cornelius Fudge, Good boy.
461,Hufflepuff,Cornelius Fudge," [to Fang] Good boy. [He, Hagrid and Lucius Malfoy leave. Harry and Ron remove the cloak of invisibility.]"
462,Hufflepuff,Cornelius Fudge,"Come now, Harry. The Ministry doesn't send people to Azkaban for blowing up their aunts."
463,Hufflepuff,Cornelius Fudge,Black was vicious. He didn't kill Pettigrew... he destroyed him!
464,Hufflepuff,Cornelius Fudge, For God sake's Dumbledore what's happened?!
465,Hufflepuff,Cornelius Fudge," [rushing over to Snape and McGonagall] Keep everybody in their seats. A boy’s just been killed. The body must be moved, Dumbledore. There are too many people."
466,Hufflepuff,Cornelius Fudge," Bad business, Hagrid. Very bad business. Had to come-- three attacks on Muggle-borns. Things have gone far enough. The Ministry’s got to act."
467,Hufflepuff,Cornelius Fudge," Albus look, Hagrid’s record is against him. I’ve got to take him."
468,Hufflepuff,Cornelius Fudge," I’m afraid we have no choice, Hagrid."
469,Hufflepuff,Cornelius Fudge," Come, Hagrid… Well?"
470,Hufflepuff,Cornelius Fudge, Good boy.
471,Slytherin,Crabbe," Ha, ha, ha, ha, ha!"
472,Slytherin,Crabbe, It’s good right? Ah… Cool!
473,Slytherin,Crabbe,Malfoy! Wait! Wait!
474,Slytherin,Crabbe,Harry!
475,Slytherin,Crabbe,"Bloody hell, Harry."
476,Slytherin,Crabbe,That was not funny.
477,Slytherin,Crabbe,Those weasels! Never told me
478,Slytherin,Crabbe,about any Marauder's Map.
479,Slytherin,Crabbe,He'll turn it over to Professor McGonagall.
480,Slytherin,Crabbe,Aren't you?
481,Slytherin,Crabbe, Look who's here.
482,Slytherin,Crabbe," Ha, ha, ha, ha, ha!"
483,Slytherin,Crabbe, It’s good right? Ah… Cool!
484,Slytherin,Crabbe & Goyle, Ummm…um.
485,Slytherin,Crabbe & Goyle, Ummm…um.
486,No Entry,Crouch," (as Mad-Eye) [Writes ""Unforgiveable"" on a blackboard] And they are so named?"
487,No Entry,Crouch," (as Mad-Eye) [finishing her sentence] Will earn you a one-way ticket to Azkaban. Correct. Now, the Ministry says you're too young to see what these curses do. I SAY DIFFERENT! You need to know what you're up against! You need to be prepared! [Seamus takes some gum out and puts it under his desk] You need to find another place to put your chewing gum besides the under-side of your desk, MR. FINNIGAN!"
488,No Entry,Crouch," (as Mad-Eye) [Throws the piece of chalk at Seamus] AND HEAR ACROSS CLASSROOMS! So, which curse shall we see first? WEASLEY!"
489,No Entry,Crouch, (as Mad-Eye) Stand! Give us a curse.
490,No Entry,Crouch," (as Mad-Eye) Oh, yeah. Your father would know all about that. Gave the Ministry a bit of grief a few years ago. Perhaps this will show you why."
491,No Entry,Crouch, (as Mad-Eye) Scores of witches and wizards have claimed that they only did You-Know-Who's bidding...under the influence of the Imperius Curse. But here's the rub
492,No Entry,Crouch," (as Mad-Eye) Correct! Correct! Come, come. [the spider comes back] Particularly nasty. The torture curse. [Aims his wand at the spider] Crucio!"
493,No Entry,Crouch," (as Mad-Eye) [Releases the spider from the curse; Walks over and places the spider on Hermione's desk] Perhaps you could give us the last Unforgivable curse, Miss Granger. [Hermione shakes her head] No? [Points his wand at the spider] Avada Kedavra! [The spider falls, unmarked but dead. Harry is watching from a desk across.] The Killing Curse. [looks at Harry] Only one person is known to have survived it...and he's sitting in this room."
494,No Entry,Crouch," (as Mad-Eye) [threateningly] It was once my job to think as dark wizards do, Karkaroff. Perhaps you remember?"
495,No Entry,Crouch, (as Mad-Eye) I can do that.
496,No Entry,Crouch," (as Mad-Eye) OH NO, YOU DON'T, SONNY! [Transfigures Draco into a ferret] I'll teach you to curse someone when their back is turned! [Proceeds to flick the ferret up and down] You stinking...cowardly...scummy...back-shooting--"
497,No Entry,Crouch, (as Mad-Eye) Teaching.
498,No Entry,Crouch," (as Mad-Eye) Technically, it's a ferret. [Proceeds to dump the ferret down Crabbe's trousers]"
499,No Entry,Crouch, (as Mad-Eye) Is that a threat?
500,No Entry,Crouch, (as Mad-Eye) IS THAT A THREAT?!
501,No Entry,Crouch," (as Mad-Eye) I CAN TELL YOU STORIES ABOUT YOUR FATHER THAT WILL CURL EVEN YOUR GREASY HAIR, BOY!"
502,No Entry,Crouch, (as Mad-Eye) IT DOESN'T END HERE!
503,No Entry,Crouch, (as Mad-Eye) He might've mentioned it.
504,No Entry,Crouch, (as Mad-Eye) You. Come with me.
505,Gryffindor,Dean, You call that a monkey?
506,Gryffindor,Dean, I don't know. I can't see him.
507,Gryffindor,Dean," Alright, better than Seamus' anyway."
508,Gryffindor,Dean," Blimey, Harry! I didn't know you could do that!"
509,Gryffindor,Dean Thomas, Ron? Is that your owl?
510,Gryffindor,Dean Thomas, Ron? Is that your owl?
511,Gryffindor,Dean Thomas, Where is it?
512,Gryffindor,Dean Thomas, Ron? Is that your owl?
513,Slytherin,Death Eater 1,Which one?
514,Slytherin,Death Eater 2,Where are you?
515,Slytherin,Death Eater 2,He's on your right!
516,Slytherin,Death Eater 2,He's over there!
517,Slytherin,Death Eater 3,Down!
518,Slytherin,Death Eater 3,"Hagrid, we have to help the others!"
519,Slytherin,Death Eater 3,"I can't do that, Harry. Mad-Eye's orders."
520,Slytherin,Death Eater 3,Hang on.
521,Slytherin,Death Eater 3,Stupefy!
522,Slytherin,Death Eater 3,"Hang on, Harry."
523,Slytherin,Death Eater 3,Hagrid.
524,No Entry,Dobby," Ha- ha- ha! Ha, ha! Ho, ho, ho! Ha, ha! Harry Potter! Such an honor it is!"
525,No Entry,Dobby," Dobby sir, Dobby the house elf."
526,No Entry,Dobby," Oh, oh yes, sir! Dobby understands! It’s just that, Dobby has come to tell you- it is difficult, sir- Dobby wonders where to begin?"
527,No Entry,Dobby," S-sit down? S-sit- sit down? Oh, oh, ho. Oh, ho, ho… Oh, ho, ho. Ohh, ho, hoo…"
528,No Entry,Dobby," Offend Dobby? Dobby has heard of your greatness, sir, but never has he been asked to sit down by a wizard, like an equal."
529,No Entry,Dobby," No, I haven’t. That was an awful thing to say. Bad Dobby!"
530,No Entry,Dobby, Bad Dobby!
531,No Entry,Dobby, Baaad Dobby!
532,No Entry,Dobby, Bad Dobby. Bad Dobby!
533,No Entry,Dobby," Dobby had to punish himself, sir. Dobby almost spoke ill of his family, sir."
534,No Entry,Dobby," The wizard family Dobby serves, sir. Dobby is bound to serve one family forever. If they ever knew Dobby was here…ooh… But Dobby had to come. Dobby has to protect Harry Potter- to warn him. Harry Potter must not go back to Hogwarts School of Witchcraft and Wizardry this year! There is a plot, a plot to make most terrible things happen."
535,No Entry,Dobby, Ooo… er… can’t… say… argh...
536,No Entry,Dobby," Don’t make me talk, I— Errr…"
537,No Entry,Dobby, Bad Dobby.
538,No Entry,Dobby, Let me go!
539,No Entry,Dobby, Friends who don’t even write to Harry Potter?
540,No Entry,Dobby," Harry Potter mustn’t be angry with Dobby. Heh- Dobby hoped, if Harry Potter thought his friends had forgotten him, Harry Potter might not want to go back to school, sir."
541,No Entry,Dobby, No! Ahh! Ooh…
542,No Entry,Dobby, (Snap!)
543,No Entry,Dobby, Harry Potter must say he’s not going back to school!
544,No Entry,Dobby," Then, Dobby must do it, sir, for Harry Potter’s own good. (Snap!)"
545,No Entry,Dobby, (Snap!)
546,No Entry,Dobby, Hello!
547,No Entry,Dobby, Harry Potter should have listened to Dobby! Harry Potter should have gone back home when he missed the train.
548,No Entry,Dobby," Indeed. Yes, sir."
549,No Entry,Dobby, At least you would be away from here. Harry Potter must go home! Dobby thought his Bludger would be enough to make Harry Potter see that---
550,No Entry,Dobby," Uhuh… Dobby feels most aggrieved, sir. Dobby had to iron his hands."
551,No Entry,Dobby, Uh-huh-huh… Dobby is used to death threats sir. Dobby gets them five times a day at home.
552,No Entry,Dobby," Not kill you, sir, never kill you! Dobby remembers how it was before Harry Potter triumphed over He-Who-Must-Not-Be-Named. We house elves were treated like vermin, sir. Of course, Dobby is still treated like vermin…uh, huh, huh, huh! Aah, ahh…"
553,No Entry,Dobby," This, sir? It is a mark of the house-elves’ enslavement. Dobby can only be freed if his master presents him with clothes. Ah! Listen. Listen! Terrible things are about to happen at Hogwarts. Harry Potter must not stay here, now that history is to repeat itself."
554,No Entry,Dobby, Ah! I shouldn’t have said that! Oh! Ah! Dah! Bad Dobby! Bad!
555,No Entry,Dobby," Dobby cannot say, sir. Dobby only wants Harry Potter to be safe. HARRY No, Dobby. Tell me. Who is it?"
556,No Entry,Dobby, (Snap!)
557,No Entry,Dobby, Um-humm…
558,No Entry,Dobby, Ahh! Oow!
559,No Entry,Dobby, Master has given Dobby a sock!
560,No Entry,Dobby, You shall not harm Harry Potter!
561,No Entry,Dobby, Harry Potter freed Dobby! How can Dobby ever repay him?
562,No Entry,Dobby," Anything, sir!"
563,No Entry,Dobby, Master has given Dobby a sock.
564,No Entry,Dobby, [Holding the sock in delight] Master has presented Dobby with clothes! Dobby is free.
565,No Entry,Dobby, You shall not harm Harry Potter!
566,No Entry,Dobby," Ha- ha- ha! Ha, ha! Ho, ho, ho! Ha, ha! Harry Potter! Such an honor it is!"
567,No Entry,Dobby," Dobby sir, Dobby the house elf."
568,No Entry,Dobby," Oh, oh yes, sir! Dobby understands! It’s just that, Dobby has come to tell you- it is difficult, sir- Dobby wonders where to begin?"
